iter	Logloss
0	0.6154887085
1	0.5605012817
2	0.5129625244
3	0.4796330566
4	0.4526908569
5	0.4292925415
6	0.4122654419
7	0.3971089172
8	0.386402771
9	0.3778586426
10	0.368307312
11	0.3630112305
12	0.3557885437
13	0.3520709839
14	0.3485105286
15	0.3454416809
16	0.3424944458
17	0.3388712769
18	0.3371306458
19	0.3354716797
20	0.3329593506
21	0.3315148315
22	0.3299972534
23	0.3286072388
24	0.3272764893
25	0.3260588379
26	0.3245246277
27	0.3230926514
28	0.3209608459
29	0.3198944092
30	0.3188274536
31	0.3176166992
32	0.3165488281
33	0.3159806213
34	0.3153172607
35	0.3145212097
36	0.3137433777
37	0.3128056946
38	0.3120223999
39	0.3111437378
40	0.3102930908
41	0.3092730103
42	0.3084500427
43	0.3079955444
44	0.3071748657
45	0.3067102051
46	0.3061227722
47	0.3054173584
48	0.3048782349
49	0.3037036133
50	0.3033341675
51	0.3028117371
52	0.3016702271
53	0.3008948975
54	0.3002204895
55	0.2997703247
56	0.2990687256
57	0.2985299072
58	0.2980723267
59	0.2976695862
60	0.2972266846
61	0.2967707825
62	0.2961508789
63	0.2953843994
64	0.2947457275
65	0.2937913208
66	0.2932675781
67	0.292221405
68	0.291255188
69	0.2907834778
70	0.2901635132
71	0.2895760498
72	0.2888779907
73	0.2885153198
74	0.2877601013
75	0.2871188354
76	0.2867548523
77	0.2860752869
78	0.2854265442
79	0.2846940308
80	0.2839484863
81	0.2836594238
82	0.2829966431
83	0.2824332886
84	0.2818457031
85	0.2812732544
86	0.28089151
87	0.28028125
88	0.2797893982
89	0.2794059448
90	0.2789648743
91	0.2785623169
92	0.2781712952
93	0.2777633362
94	0.2773703918
95	0.2767423096
96	0.2760499268
97	0.2755917358
98	0.2751925659
99	0.274199707
