iter	Passed	Remaining
0	163	16155
1	168	8275
2	175	5671
3	181	4360
4	187	3569
5	193	3036
6	200	2659
7	207	2387
8	214	2165
9	222	2000
10	230	1864
11	238	1746
12	244	1637
13	252	1548
14	258	1465
15	264	1391
16	272	1329
17	279	1273
18	287	1227
19	294	1177
20	301	1133
21	308	1092
22	314	1052
23	321	1019
24	328	985
25	336	958
26	343	928
27	350	902
28	357	874
29	363	849
30	370	825
31	377	801
32	385	781
33	391	760
34	401	745
35	409	727
36	419	714
37	431	703
38	440	688
39	448	672
40	456	656
41	464	641
42	472	626
43	480	611
44	487	596
45	501	588
46	509	574
47	517	560
48	528	549
49	537	537
50	546	524
51	554	511
52	562	499
53	571	486
54	579	474
55	587	461
56	595	449
57	604	437
58	612	425
59	618	412
60	625	400
61	633	388
62	642	377
63	650	366
64	659	355
65	666	343
66	675	332
67	682	321
68	690	310
69	699	299
70	706	288
71	713	277
72	721	266
73	727	255
74	733	244
75	740	233
76	748	223
77	756	213
78	763	202
79	770	192
80	776	182
81	782	171
82	790	161
83	797	151
84	804	141
85	811	132
86	818	122
87	823	112
88	830	102
89	837	93
90	843	83
91	849	73
92	856	64
93	863	55
94	871	45
95	878	36
96	884	27
97	891	18
98	898	9
99	905	0
